"","x"
"202",9.01828084015778
"203",8.81716985665092
"204",9.04304304304304
"205",8.84425934083537
"206",9.09254807692308
"207",9.1373098478783
"208",8.97312667707958
"209",8.88096621066757
"210",8.9440819757435
"211",9.06815132277251
"212",9.04483352698425
"213",9.19358391573383
"214",8.92349573641859
"215",8.72204856936764
"216",9.3679910285165
"217",8.85543856839745
"218",8.79788321606831
"219",8.91368809104023
"220",9.06797477224947
"221",9.19344498757913
"222",8.67153869256182
"223",9.48612641490534
"224",9.02153229844767
"225",9.03772564261816
"226",9.2356050292304
"227",9.32072674826225
"228",8.98126815586497
"229",9.18704560475876
"230",9.20833917449382
"231",9.25862863324052
"232",8.62248577610385
"233",8.7984465086483
"234",9.09181876400897
"235",9.02139754598771
"236",8.93239645266551
"237",9.06522958570398
"238",9.14459592016495
"239",8.93529270441259
"240",9.04337373535009
"241",9.13477903926633
"242",9.05632420959894
"243",9.10274384137793
"244",8.91548901076905
"245",9.19174324784271
"246",9.01752628943415
"247",8.94738950995713
"248",9.06997697467214
"249",8.87713816448344
"250",9.11056825918065
"251",8.87242138994592
"252",8.93983381719892
"253",9.07543163882546
"254",8.83878331564509
"255",9.10365829226269
"256",9.12331290800593
"257",9.04432077511311
"258",8.91967091698861
"259",9.15990788024432
"260",9.32300114134679
"261",9.00642887184314
"262",9.16042759338591
"263",9.0524924395666
"264",8.87242138994592
"265",8.88951205832866
"266",9.19125748742913
"267",9.09181936517473
"268",8.90504225239297
"269",9.13423988144113
"270",8.80879878195368
"271",9.03556552387055
"272",9.01736187596372
"273",8.74842276031965
"274",8.7866527800032
"275",9.14901717193981
"276",9.11420791286241
"277",8.91809058312133
"278",9.05997277604292
"279",8.95653915481674
"280",9.31317581097317
"281",9.3013013013013
"282",8.92721227416576
"283",9.06414005849125
"284",9.13956938374564
"285",9.12968599807754
"286",9.06251876764158
"287",8.96478548977998
"288",9.02883460152183
"289",8.95869225529869
"290",8.87696036212871
"291",9.2163775489764
"292",9.26567475018523
"293",9.05030841945045
"294",8.89502983699788
"295",8.94144504966357
"296",8.84326489734602
"297",8.92385299063176
"298",8.97985340649658
"299",8.66728051563313
"300",8.98246737651109
"301",8.7652194809356
"302",8.82541463023796
"303",8.78500180266795
"304",9.11056825918065
"305",8.77646257685914
"306",9.03736351798057
"307",9.19323826309886
"308",9.2221732687147
"309",9.09491477898616
"310",9.27420162178396
"311",9.17703138456608
"312",9.18679823069071
"313",9.08945174735492
"314",9.546310014816
"315",8.94069578801899
"316",8.92706956626217
"317",9.0402836481641
"318",9.00826942714695
"319",8.73553090078904
"320",8.81321982974462
"321",9.05105105105105
"322",8.98604129533575
"323",9.02591420675291
"324",8.68006887990068
"325",8.98768398918594
"326",9.13441323108344
"327",8.60663127316438
"328",9.21179109259853
"329",9.26029812469947
"330",8.98388227049755
"331",9.06106106106106
"332",9.00915336391131
"333",9.36317591239415
"334",8.84266581249625
"335",8.92671205446536
"336",8.7451938481256
"337",8.85216346153846
"338",8.83889433758332
"339",8.9658073433087
"340",9.11458333333333
"341",8.97879922323877
"342",8.93962150796035
"343",8.87490984854556
"344",8.84138400817422
"345",9.11984943739238
"346",9.21468903928557
"347",8.81374944914066
"348",8.84684684684685
"349",9.25551304905161
"350",9.04177592729748
"351",9.03008693561957
"352",9.50989028589733
"353",8.9379768890313
"354",8.85845297450992
"355",8.88430579472188
"356",9.21951708245667
"357",8.97636217948718
"358",8.99567342360388
"359",9.09200120132145
"360",9.10911311800396
"361",8.94054984882161
"362",9.06085981008854
"363",9.0686961746445
"364",8.80656788145775
"365",9.06997697467214
"366",9.29385148257153
"367",9.18365301745736
"368",8.56084126189284
"369",8.93146735539672
"370",8.96149918914049
"371",8.92942966997757
"372",9.20673076923077
"373",9.25043067184808
"374",9.13152359010318
"375",8.99663677130045
"376",8.99299299299299
"377",8.84955752212389
"378",8.88199379441497
"379",8.98624431852312
"380",8.86151997596876
"381",8.9305733504164
"382",8.82841753268857
"383",8.98198793853058
