"","x"
"130",6.59567227815922
"131",6.62580619316589
"132",6.74355277911261
"133",6.56148008729952
"134",6.59591509811774
"135",6.67935109152814
"136",6.68775779904689
"137",6.55442333486817
"138",6.49374061091638
"139",6.47577092511013
"140",6.79487179487179
"141",6.51860455801658
"142",6.66893637474215
"143",6.40265876511572
"144",6.60804422722538
"145",6.79747722494744
"146",6.6047368315682
"147",6.48435466757422
"148",6.46485274390854
"149",6.61112335022331
"150",6.5285699989993
"151",6.47556898933083
"152",6.57057057057057
"153",6.65505086918209
"154",6.65291903579723
"155",6.60993191830196
"156",6.55829596412556
"157",6.50780937124549
"158",6.82350585644209
"159",6.46704429454975
"160",6.54273007732682
"161",6.53689017063206
"162",6.77833657256206
"163",6.65371053053374
"164",6.5682464644846
"165",6.58911624554519
"166",6.58390068081698
"167",6.48978774529435
"168",6.65331062806772
"169",6.67173921749229
"170",6.58999378869543
"171",6.76679683588665
"172",6.60392470965158
"173",6.53209980375666
"174",6.66760134593815
"175",6.66947064832061
"176",6.48921468485249
"177",6.81727148922535
"178",6.55839474527395
"179",6.5517310426303
"180",6.6345114677981
"181",6.58685032433731
"182",6.63249984985286
"183",6.71883756304539
"184",6.59923893450831
"185",6.63769973168876
"186",6.67160711424451
"187",6.45548836650515
"188",6.50167197292806
"189",6.50471631986862
"190",6.75055603422366
"191",6.65398478173809
"192",6.71568529240879
"193",6.74074074074074
"194",6.44709180098108
"195",6.66065885651347
"196",6.59125037541295
"197",6.77616424636955
"198",6.56403891580254
"199",6.50406504065041
"200",6.4529050089123
"201",6.71429715017611
"202",6.66853516446117
"203",6.60515201857449
"204",6.59230630594549
"205",6.54211221915175
"206",6.50505859961935
"207",6.61568949296395
"208",6.72566726067717
"209",6.60095758959873
"210",6.56978140763872
"211",6.81071771867991
"212",6.49753714308598
"213",6.74103298419883
"214",6.58139674533117
"215",6.67855568468721
"216",6.34561473768522
"217",6.56338197321804
"218",6.62081687486215
"219",6.59001682557487
"220",6.67147204869454
"221",6.57836733058149
"222",6.57191472325093
"223",6.6936388399295
"224",6.65491758957002
"225",6.62060678882547
"226",6.7007007007007
"227",6.80857880929972
"228",6.53219021673811
"229",6.68522561134365
"230",6.63449214995194
"231",6.59468338708708
"232",6.58830125958708
"233",6.66760078465911
"234",6.63251010687267
"235",6.63984306189447
"236",6.74939951961569
"237",6.97026767110114
"238",6.67828106852497
"239",6.69336269896887
"240",6.67841833259885
"241",6.65144962357841
"242",6.64197036443732
"243",6.67774951429086
"244",6.6910925581116
"245",6.55947780469736
"246",6.62967933182446
"247",6.66973874018272
"248",6.28841418246611
"249",6.67067067067067
"250",6.66933626989689
"251",6.67120762881641
"252",6.45348604381082
"253",6.56492830249139
"254",6.43785418210217
"255",6.43093258539517
"256",6.66720073701708
"257",6.72364786420593
"258",6.49236251526496
"259",6.64984681924671
"260",6.67454341557193
"261",6.74038018548565
"262",6.55829596412556
"263",6.63461538461539
"264",6.65972319586596
"265",6.56666800176233
"266",6.60857371794872
"267",6.27090468465221
"268",6.51930161781195
"269",6.80980612081397
"270",6.51925734543051
"271",6.56653649744668
"272",6.69162845644034
"273",6.56906531012798
"274",6.7454436210695
"275",6.52561559576045
"276",6.77894821163936
"277",6.82878948739008
"278",6.55320852938232
"279",6.51803777817839
"280",6.56321954149564
"281",6.69735788630905
"282",6.66145927216648
"283",6.74560243619025
"284",6.66359373121167
"285",6.81472284524191
"286",6.77891449278264
"287",6.56909462219197
"288",6.5985985985986
"289",6.51660191452718
"290",6.5595769823943
"291",6.58814574444645
"292",6.79106270521342
"293",6.42337813207283
"294",6.72553259650809
"295",6.53488744692782
"296",6.38468316910999
"297",6.66279605197301
"298",6.72193187961795
"299",6.66680009606917
"300",6.59166883519827
"301",6.61782368484266
"302",6.60859116851907
"303",6.56466535827292
"304",6.54972867984221
"305",6.69591873534892
"306",6.55251827375588
"307",6.62087196843771
"308",6.54624827282376
"309",6.74103298419883
"310",6.49179014817781
"311",6.66826865312988
"312",6.70243433696348
"313",6.63059813645927
"314",6.68522561134365
"315",6.5177766649975
"316",6.5733621656255
"317",6.50489518890023
"318",6.64250965946628
"319",6.7004425576226
"320",6.6280862652436
"321",6.6561204669697
"322",6.65411425366557
"323",6.62836322869955
"324",6.30394296813986
"325",6.40168201842211
"326",6.54050265344948
"327",6.7351598173516
"328",6.55905149105766
"329",6.63006672143301
"330",6.68882259905103
"331",6.54546182648219
"332",6.53323716792884
"333",6.66079577295653
"334",6.37637637637638
"335",6.67427381738834
"336",6.66119244557489
"337",6.75800184272724
"338",6.58044883986307
"339",6.38762547837063
"340",6.49186763881099
"341",6.6207531682316
"342",6.62688001922576
"343",6.62928099339075
"344",6.72901688262271
"345",6.71032079778926
"346",6.5810015611865
"347",6.65170700432762
"348",6.55695036738943
"349",6.640625
"350",6.68988710064857
"351",6.7588141025641
"352",6.6702711362089
"353",6.5906997236352
"354",6.67787653134759
"355",6.46240112145789
"356",6.80296652635799
"357",6.65197355239431
"358",6.75293976241511
"359",6.58245080178575
"360",6.75878642234905
"361",6.7490437185829
"362",6.68295515991429
"363",6.52221799467329
"364",6.43300620869217
"365",6.87811617708897
"366",6.65252371612697
"367",6.75166386015556
"368",6.73078849814648
"369",6.55025331918217
"370",6.61193432118542
"371",6.61769121444442
"372",6.65170700432762
"373",6.44986775667228
"374",6.66466406328227
"375",6.69776941251852
"376",6.62088572115
"377",6.59886281733002
"378",6.80412371134021
"379",6.54010973607273
"380",6.58669443665639
"381",6.71111378060744
"382",6.75066605236273
"383",6.56956242987658
"384",6.69256648510093
"385",6.59003984861531
"386",6.64944738106679
"387",6.56919687562588
"388",6.76514150754573
"389",6.69322868698194
